k,silhouette_score,inertia
5,0.0759584568860882,1227.1089852656546
6,0.053525885959569086,1210.6087049924927
7,0.05796948579355375,1197.8676031626349
8,0.05183837544417849,1179.7717029590028
9,0.05154191421895616,1167.087944651873
10,0.05922374636419812,1157.5972177321157
11,0.04542873194381704,1153.6050266445036
12,0.04972945858208423,1142.5199113510532
13,0.05244043383626206,1129.1061986385193
14,0.05603163967903922,1119.156132903714
15,0.06254551077373613,1105.6010487902388
16,0.061471501104430414,1093.3205349072964
17,0.056209664818835575,1089.0616356371988
18,0.060387281593750855,1085.4433934751064
19,0.06019155766705182,1076.470537930095
20,0.0631385516911761,1059.3288382084993
